Instrument,Anonymized Lot,4 digit Seq,Customer Lot,Failure Date,Type of Procedures,Remaining Uses,Experience of Surgeon who performed Last Surgery(in Years),Experience Level
INS-011,LOT147,0014,LOT147-0014,9/11/2024,Rectopexy|Low Anterior Resection (LAR)|Sigmoid Colectomy|Ileocecal Resection|Cholecystectomy|Cholecystectomy|Adrenalectomy|Hysterectomy - Malignant,6,14,M
INS-008,LOT121,0705,LOT121-0705,9/13/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Low Anterior Resection (LAR)|Nephrectomy|Nephrectomy,2,19,H
INS-008,LOT148,0447,LOT148-0447,9/13/2024,Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy,5,9,M
INS-008,LOT119,0521,LOT119-0521,9/13/2024,Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Partial Nephrectomy|Rectopexy|Other General Surgery|Other Colorectal|Hysterectomy - Malignant|Partial Nephrectomy|Hemicolectomy - Right,1,10,M
INS-008,LOT148,0461,LOT148-0461,9/13/2024,Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Cholecystectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Liver Wedge Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,1,10,M
INS-008,LOT139,0516,LOT139-0516,9/16/2024,Cholecystectomy|Other Thoracic|Gastrectomy - Distal|Inguinal Hernia - Bilateral|Pancreatoduodenectomy|Inguinal Hernia - Bilateral|Inguinal Hernia - Unilateral|Sleeve Gastrectomy,2,19,H
INS-008,LOT127,0438,LOT127-0438,9/17/2024,Hysterectomy - Benign|Sigmoid Colectomy|Abdominoperineal Resection (APR)|Other Reconstuctive|Hysterectomy - Malignant|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy,3,9,M
INS-001,LOT123,0384,LOT123-0384,9/17/2024,Salpingo-Oophorectomy|Hysterectomy - Benign|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Nephroureterectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Hysterectomy - Benign,2,19,H
INS-008,LOT121,0599,LOT121-0599,9/17/2024,Sigmoid Colectomy|Other Urology|Partial Nephrectomy|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,1,10,M
INS-011,LOT149,0196,LOT149-0196,9/17/2024,Low Anterior Resection (LAR)|Hysterectomy - Malignant|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Splenectomy|Sigmoid Colectomy|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Rectopexy|Hysterectomy - Malignant|Hemicolectomy - Left,4,19,H
INS-008,LOT092,0586,LOT092-0586,9/19/2024,Sigmoid Colectomy|Sacrocolpopexy|Hysterectomy - Malignant|Inguinal Hernia - Bilateral|Other Colorectal|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Low Anterior Resection (LAR),1,10,M
INS-001,LOT075,0061,LOT075-0061,9/19/2024,Hysterectomy - Malignant|Hysterectomy - Malignant|Nephrectomy|Partial Nephrectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
INS-011,LOT140,0255,LOT140-0255,9/19/2024,Hysterectomy - Malignant|Rectopexy|Salpingo-Oophorectomy|Endometriosis Resection|Hysterectomy - Benign|Hysterectomy - Malignant|Cholecystectomy|Other Colorectal|Hartmann's Reversal Procedure|Hysterectomy - Malignant|Hysterectomy - Malignant|Other Colorectal,2,19,H
INS-024,LOT150,0189,LOT150-0189,9/19/2024,Parastomal Hernia Repair|Other General Surgery,8,14,M
INS-008,LOT127,0435,LOT127-0435,9/19/2024,Other Urology|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Partial Nephrectomy,4,19,H
INS-011,LOT151,0134,LOT151-0134,9/19/2024,Hemicolectomy - Right|Hysterectomy - Malignant|Liver Resection|Hysterectomy - Malignant|Sacrocolpopexy|Low Anterior Resection (LAR)|Hysterectomy - Malignant,6,14,M
INS-047,LOT152,0163,LOT152-0163,9/19/2024,Other Reconstuctive,13,19,H
INS-048,,N/A,,,,0,,L
INS-026,,N/A,,,,0,,L
INS-001,LOT123,0056,LOT123-0056,9/23/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Sacrocolpopexy|Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Kidney Reimplantation - Living Donor|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,3,9,M
INS-001,LOT143,0003,LOT143-0003,9/23/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Ileocecal Resection|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Nephrectomy|Other Colorectal|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology,6,14,M
INS-049,LOT153,0644,LOT153-0644,9/23/2024,Other Gynecology|Nephrectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,3,9,M
INS-011,LOT140,0274,LOT140-0274,9/24/2024,Kidney Reimplantation - Living Donor|Abdominoperineal Resection (APR)|Sigmoid Colectomy|Other Colorectal|Low Anterior Resection (LAR)|Hysterectomy - Malignant|Other Urology|Hemicolectomy - Right,6,14,M
INS-008,LOT121,0696,LOT121-0696,9/24/2024,Other Reconstuctive|Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Sigmoid Colectomy,5,9,M
INS-009,LOT154,0148,LOT154-0148,9/24/2024,Low Anterior Resection (LAR)|Endometriosis Resection|Endometriosis Resection|Proctocolectomy|Other Gynecology|Other Colorectal|Hemicolectomy - Right,3,9,M
INS-004,LOT146,0077,LOT146-0077,9/24/2024,Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Partial Nephrectomy|Hysterectomy - Benign|Pancreatectomy - Distal|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant,1,10,M
INS-001,LOT098,0384,LOT098-0384,9/25/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia eTEP|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Inguinal Hernia - Bilateral|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,7,19,H
INS-049,LOT153,0614,LOT153-0614,9/25/2024,Sacrocolpopexy|Salpingo-Oophorectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Other Colorectal,4,19,H
INS-050,LOT155,0023,LOT155-0023,9/25/2024,,0,,L
INS-008,LOT098,0110,LOT098-0110,9/26/2024,Partial Nephrectomy|Hysterectomy - Malignant|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Sacrocolpopexy,4,19,H
INS-008,LOT098,0132,LOT098-0132,9/26/2024,Hysterectomy - Malignant|Abdominoperineal Resection (APR)|Other Colorectal|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,4,19,H
INS-002,LOT127,0185,LOT127-0185,9/26/2024,Sacrocolpopexy|Hysterectomy - Malignant|Hysterectomy - Malignant|Other Colorectal|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Hysterectomy - Malignant|Sacrocolpopexy,3,9,M
INS-001,LOT143,0021,LOT143-0021,9/26/2024,Hysterectomy - Malignant|Other Reconstuctive|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia TAPP|Hysterectomy - Malignant|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-009,LOT056,0080,LOT056-0080,9/30/2024,Subtotal Colectomy|Low Anterior Resection (LAR)|Hemicolectomy - Right|Other Colorectal|Other Reconstuctive|Hemicolectomy - Left|Other Colorectal|Hemicolectomy - Right|Sigmoid Colectomy,1,10,M
INS-001,LOT156,0316,LOT156-0316,9/30/2024,Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Hysterectomy - Malignant,14,19,H
INS-008,LOT157,0129,LOT157-0129,9/30/2024,Salpingo-Oophorectomy|Partial Nephrectomy|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy,5,9,M
INS-001,,0420,-420,10/2/2024,,0,,L
INS-017,LOT061,0080,LOT061-0080,10/2/2024,,0,,L
INS-002,LOT150,0400,LOT150-0400,10/2/2024,Incisional Hernia TAR|Inguinal Hernia - Bilateral|Umbilical Hernia TAPP|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Umbilical Hernia TAPP|Ventral hernia eTEP|Ileocecal Resection|Inguinal Hernia - Unilateral|Inguinal Hernia - Bilateral,5,9,M
INS-001,LOT156,0320,LOT156-0320,10/3/2024,Partial Nephrectomy|Hysterectomy - Malignant|Partial Nephrectomy,15,14,M
INS-008,LOT098,0139,LOT098-0139,10/3/2024,Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-008,LOT148,0446,LOT148-0446,10/3/2024,Nephrectomy|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Partial Nephrectomy|Inguinal Hernia - Bilateral|Prostatectomy - Radical w/ Lymphadenectomy,2,19,H
INS-004,LOT146,0076,LOT146-0076,10/3/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Nephroureterectomy|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Hysterectomy - Malignant|Other Colorectal,2,19,H
INS-008,LOT098,0136,LOT098-0136,10/3/2024,Gastrectomy - Subtotal|Gastrectomy - Subtotal|Ventral Hernia IPOM|Pancreatectomy - Distal|Appendectomy|Cholecystectomy|Incisional Hernia TAR|Cholecystectomy|Ventral Hernia TAPP,1,10,M
INS-001,LOT075,0086,LOT075-0086,10/4/2024,Hysterectomy - Malignant|Partial Nephrectomy|Hysterectomy - Malignant|Nephrectomy|Nephrectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology,9,14,M
INS-001,LOT143,0138,LOT143-0138,10/4/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Sacrocolpopexy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,2,19,H
INS-008,LOT139,0599,LOT139-0599,10/4/2024,Sacrocolpopexy w/ Hysterectomy|Sigmoid Colectomy|Hysterectomy - Malignant|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right,2,19,H
INS-002,LOT158,0350,LOT158-0350,10/4/2024,Sacrocolpopexy w/ Hysterectomy|Ventral Hernia IPOM|Hysterectomy - Malignant|Other Gynecology|Other Gynecology|Hysterectomy - Malignant|Hysterectomy - Malignant|Other Gynecology,7,19,H
INS-008,LOT127,0429,LOT127-0429,10/7/2024,Rectopexy|Rectopexy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Abdominoperineal Resection (APR)|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Hysterectomy - Malignant|Hysterectomy - Benign,2,19,H
INS-008,LOT157,0114,LOT157-0114,10/7/2024,Nephrectomy|Sacrocolpopexy w/ Hysterectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Right|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy w/ Hysterectomy,2,19,H
INS-008,LOT098,0091,LOT098-0091,10/7/2024,Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Adrenalectomy|Salpingo-Oophorectomy|Partial Nephrectomy,5,9,M
INS-004,LOT146,0073,LOT146-0073,10/7/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Other Gynecology|Sacrocolpopexy w/ Hysterectomy|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Benign,1,10,M
INS-051,,0000,,10/7/2024,,0,,L
INS-051,LOT159,0189,LOT159-0189,10/7/2024,,0,,L
INS-001,LOT123,0465,LOT123-0465,10/7/2024,Ventral hernia TAR|Cholecystectomy|Inguinal Hernia - Bilateral|Cholecystectomy|Cholecystectomy|Cholecystectomy|Incisional Hernia eTEP|Inguinal Hernia - Unilateral|Inguinal Hernia - Unilateral|Cholecystectomy|Incisional Hernia TAR|Cholecystectomy|Cholecystectomy|Ventral hernia eTEP,3,9,M
INS-008,LOT127,0425,LOT127-0425,10/8/2024,Abdominoperineal Resection (APR)|Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,19,H
INS-001,LOT079,0187,LOT079-0187,10/8/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Nephrectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Endometriosis Resection|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy - Retroperitoneal Lateral|Other Gynecology|Hysterectomy - Malignant,4,19,H
INS-001,LOT143,0134,LOT143-0134,10/8/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Partial Nephrectomy - Retroperitoneal Lateral|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy,7,19,H
INS-002,LOT105,0384,LOT105-0384,10/8/2024,Sacrocolpopexy w/ Hysterectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Sacrocolpopexy|Hysterectomy - Malignant|Hysterectomy - Malignant,9,14,M
INS-008,LOT098,0125,LOT098-0125,10/8/2024,Radical Cystectomy w/ Ileal Conduit|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Left|Partial Nephrectomy,4,19,H
INS-001,LOT079,0029,LOT079-0029,10/8/2024,Partial Nephrectomy|Radical Cystectomy w/ Ileal Conduit|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,9,14,M
INS-008,LOT098,0148,LOT098-0148,10/8/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hemicolectomy - Left|Proctocolectomy,4,19,H
INS-008,LOT139,0593,LOT139-0593,10/8/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Partial Nephrectomy|Other Colorectal|Endometriosis Resection,4,19,H
INS-008,LOT121,0690,LOT121-0690,10/8/2024,Prostatectomy - Radical w/ Lymphadenectomy|Rectopexy|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-008,LOT139,0540,LOT139-0540,10/8/2024,Partial Nephrectomy|Low Anterior Resection (LAR)|Liver Wedge Resection|Radical Cystectomy w/ Ileal Conduit|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Radical Cystectomy w/ Ileal Conduit|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,1,10,M
INS-002,LOT125,0423,LOT125-0423,10/8/2024,Incisional Hernia TAPP|Incisional Hernia eTEP|Incisional Hernia eTEP|Incisional Hernia TAR|Ventral Hernia IPOM|Ventral hernia eTEP|Incisional Hernia eTEP|Ventral hernia TAR,7,19,H
INS-001,LOT143,0043,LOT143-0043,10/8/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Benign|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,2,19,H
INS-001,LOT143,0130,LOT143-0130,10/8/2024,Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,7,19,H
INS-052,LOT160,0027,LOT160-0027,10/11/2024,Radical Tonsillectomy|Tongue Base Resection - Malignant|Radical Tonsillectomy|Radical Tonsillectomy|Radical Tonsillectomy|Radical Tonsillectomy|Tongue Base Resection - Malignant|Tongue Base Resection - Malignant|Other Head & Neck|Radical Tonsillectomy|Radical Tonsillectomy|Radical Tonsillectomy|Tongue Base Resection - Malignant|Tongue Base Resection - Malignant|Tongue Base Resection - Malignant|Tongue Base Resection - Malignant|Radical Tonsillectomy|Tongue Base Resection - Malignant|Tongue Base Resection - Malignant|Radical Tonsillectomy|Radical Tonsillectomy,4,19,H
INS-008,LOT127,0426,LOT127-0426,10/14/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Parastomal Hernia Repair|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Low Anterior Resection (LAR),3,9,M
INS-049,LOT153,0496,LOT153-0496,10/14/2024,Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal,3,9,M
INS-008,LOT157,0131,LOT157-0131,10/14/2024,Other Colorectal|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,19,H
INS-053,LOT161,0032,LOT161-0032,10/14/2024,Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging|Nodule Biopsy with EBUS Staging,2,19,H
INS-008,LOT139,0597,LOT139-0597,10/15/2024,Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Low Anterior Resection (LAR)|Low Anterior Resection (LAR)|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,4,19,H
INS-001,LOT075,0082,LOT075-0082,10/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Partial Nephrectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy,6,14,M
INS-001,LOT156,0324,LOT156-0324,10/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Inguinal Hernia - Bilateral|Partial Nephrectomy - Retroperitoneal Lateral|Hysterectomy - Malignant|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy,10,19,H
INS-001,LOT123,0331,LOT123-0331,10/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Reconstuctive|Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy,3,9,M
INS-008,LOT127,0443,LOT127-0443,10/15/2024,Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology,4,19,H
INS-010,LOT162,0014,LOT162-0014,10/16/2024,Nodule Biopsy with EBUS Staging,4,19,H
INS-051,LOT163,0220,LOT163-0220,10/17/2024,,0,,L
INS-001,LOT143,0123,LOT143-0123,10/18/2024,Pyeloplasty|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Hysterectomy - Malignant|Hysterectomy - Benign|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Incisional Hernia TAR,6,14,M
INS-001,LOT164,0053,LOT164-0053,10/18/2024,Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy,16,14,M
INS-001,LOT143,0045,LOT143-0045,10/18/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Partial Nephrectomy|Hysterectomy - Malignant|Salpingo-Oophorectomy|Partial Nephrectomy|Hysterectomy - Malignant|Partial Nephrectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Radical Cystectomy w/ Ileal Conduit,6,14,M
INS-001,LOT143,0131,LOT143-0131,10/18/2024,Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Sacrocolpopexy|Prostatectomy - Radical w/ Lymphadenectomy|Other Gynecology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,3,9,M
INS-001,LOT075,0060,LOT075-0060,10/18/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical Extraperitoneal w/ Lymphadenectomy|Partial Nephrectomy,4,19,H
INS-051,LOT165,0047,LOT165-0047,10/23/2024,,0,,L
INS-001,LOT166,0483,LOT166-0483,10/23/2024,Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Nephrectomy|Partial Nephrectomy|Hysterectomy - Benign|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Partial Nephrectomy|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant,3,9,M
INS-008,LOT098,0137,LOT098-0137,10/23/2024,Partial Nephrectomy|Prostatectomy - Radical w/ Lymphadenectomy|Prostatectomy - Radical w/ Lymphadenectomy|Other Urology|Prostatectomy - Radical w/ Lymphadenectomy|Hysterectomy - Malignant|Hysterectomy - Malignant|Prostatectomy - Radical w/ Lymphadenectomy|Other Colorectal,1,10,M
